customer_id,gender,age,married,state,city,latitude,longitude,tenure_in_months,offer,phone_service,multiple_lines,internet_service,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,monthly_charge,total_charges,total_long_distance_charges,total_revenue,churn_label,churn_value
0017-IUDMW,Female,25,Yes,California,Sunnyvale,37.378541,-122.020456,72,None,Yes,Yes,Yes,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,116.8,8456.75,1152.72,9609.47,No,0
0018-NYROU,Female,58,Yes,California,Antelope,38.715498,-121.363411,5,None,Yes,No,Yes,10,No,No,No,No,No,No,No,Yes,Month-to-Month,68.95,351.5,93.25,444.75,No,0
0019-EFAEP,Female,32,No,California,La Mesa,32.782501,-117.01611,72,Offer A,Yes,Yes,Yes,16,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,101.3,7261.25,162.0,7423.25,No,0
0019-GFNTW,Female,39,No,California,Los Olivos,34.70434,-120.02609,56,None,No,No,Yes,19,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,45.05,2560.1,0.0,2560.1,No,0
0020-INWCK,Female,58,Yes,California,Woodlake,36.464635,-119.094348,71,Offer A,Yes,Yes,Yes,12,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,95.75,6849.4,1935.46,8784.86,No,0
0020-JDNXP,Female,52,Yes,California,Point Reyes Station,38.060264,-122.830646,34,None,No,No,Yes,20,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,61.25,1993.2,0.0,1993.2,No,0
0021-IKXGC,Female,72,No,California,San Marcos,33.119028,-117.166036,1,Offer E,Yes,Yes,Yes,22,No,No,No,No,No,No,No,Yes,One Year,72.1,72.1,7.77,79.87,No,0
0022-TCJCI,Male,79,No,California,Daly City,37.680844,-122.48131,45,None,Yes,No,Yes,17,Yes,No,Yes,No,No,Yes,No,Yes,One Year,62.7,2791.5,480.15,3271.65,Yes,1
0023-HGHWL,Male,67,No,California,Morgan Hill,37.161544,-121.649371,1,None,No,No,Yes,9,No,No,No,No,No,No,No,Yes,Month-to-Month,25.1,25.1,0.0,25.1,Yes,1
0023-UYUPN,Female,79,Yes,California,Ahwahnee,37.375816,-119.739935,50,None,Yes,Yes,No,0,No,No,No,No,No,No,No,No,One Year,25.2,1306.3,1571.5,2877.8,No,0
0023-XUOPT,Female,26,Yes,California,Carnelian Bay,39.227434,-120.091806,13,None,Yes,Yes,Yes,52,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,94.1,1215.6,566.28,1781.88,Yes,1
0027-KWYKW,Female,30,Yes,California,Alpaugh,35.869626,-119.498771,23,Offer D,Yes,Yes,Yes,30,No,No,No,No,Yes,No,No,Yes,Month-to-Month,83.75,1849.95,802.93,2652.88,No,0
0030-FNXPP,Female,22,No,California,Keeler,36.560498,-117.962461,3,None,Yes,No,No,0,No,No,No,No,No,No,No,No,Month-to-Month,19.85,57.2,9.36,66.56,No,0
0031-PVLZI,Female,34,Yes,California,Korbel,40.7666,-123.80458,4,Offer E,Yes,No,No,0,No,No,No,No,No,No,No,No,Month-to-Month,20.35,76.35,49.72,126.07,Yes,1
0032-PGELS,Female,37,Yes,California,Palomar Mountain,33.309852,-116.823091,1,None,No,No,Yes,19,Yes,No,No,No,No,No,No,Yes,Month-to-Month,30.5,30.5,0.0,30.5,Yes,1
0036-IHMOT,Female,37,Yes,California,Parlier,36.622237,-119.521126,55,None,Yes,No,Yes,57,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,103.7,5656.75,1927.2,7603.95,No,0
0040-HALCW,Male,42,Yes,California,Modesto,37.612612,-121.108568,54,None,Yes,No,No,0,No,No,No,No,No,No,No,No,Two Year,20.4,1090.6,1063.8,2154.4,No,0
0042-JVWOJ,Male,64,No,California,Glen Ellen,38.368744,-122.522642,26,Offer C,Yes,No,No,0,No,No,No,No,No,No,No,No,One Year,19.6,471.85,980.2,1430.8,No,0
0042-RLHYP,Female,47,Yes,California,Eureka,40.737431,-124.108897,69,None,Yes,No,No,0,No,No,No,No,No,No,No,No,Two Year,19.7,1396.9,2648.91,4045.81,No,0
0048-LUMLS,Male,23,Yes,California,Moss Beach,37.515556,-122.502311,37,Offer C,Yes,No,Yes,51,No,No,No,No,Yes,Yes,Yes,Yes,One Year,91.2,3247.55,1591.37,4838.92,No,0
0048-PIHNL,Female,48,Yes,California,Los Angeles,34.001617,-118.222274,49,Offer B,Yes,No,No,0,No,No,No,No,No,No,No,No,One Year,20.45,900.9,2429.42,3330.32,No,0
0052-DCKON,Male,28,Yes,California,Los Angeles,34.044271,-118.185237,66,None,Yes,Yes,Yes,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,164.11,7942.15,2888.82,10830.97,No,0
0052-YNYOT,Female,28,No,California,Calexico,32.690654,-115.431225,67,None,Yes,No,No,0,No,No,No,No,No,No,No,No,One Year,20.55,1343.4,1549.04,2861.91,No,0
0056-EPFBG,Male,33,Yes,California,Redding,40.677649,-122.29467,20,None,No,No,Yes,22,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,39.4,825.4,0.0,825.4,No,0
0057-QBUQH,Female,31,No,California,San Martin,37.084697,-121.606417,43,None,Yes,Yes,No,0,No,No,No,No,No,No,No,No,Two Year,25.1,1070.15,1317.52,2387.67,No,0
0058-EVZWM,Female,37,Yes,California,Stockton,38.044523,-121.348048,55,Offer B,Yes,Yes,Yes,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,89.8,4959.6,279.4,5239.0,No,0
0060-FUALY,Female,60,Yes,California,Los Angeles,33.964131,-118.272783,59,Offer B,Yes,Yes,Yes,14,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,94.75,5597.65,967.01,6564.66,No,0
0064-SUDOG,Female,48,Yes,California,Huntington Park,33.97803,-118.217141,12,None,Yes,No,No,0,No,No,No,No,No,No,No,No,Two Year,20.3,224.5,231.36,455.86,No,0
0064-YIJGF,Male,60,Yes,California,Yermo,35.013299,-116.834092,27,Offer C,Yes,Yes,Yes,23,No,No,No,No,No,No,No,Yes,Month-to-Month,75.75,1929.0,682.0200000000001,2611.02,No,0
0067-DKWBL,Male,69,No,California,San Diego,32.961064,-117.134917,2,None,Yes,No,Yes,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,49.25,91.1,87.98,179.08,Yes,1
0068-FIGTF,Female,20,No,California,Fremont,37.516791,-121.899117,27,Offer C,Yes,No,Yes,59,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,78.2,2078.95,1320.57,3399.52,No,0
0071-NDAFP,Male,31,Yes,California,Santa Rosa,38.439696,-122.668817,25,None,Yes,Yes,No,0,No,No,No,No,No,No,No,No,Two Year,25.5,630.6,592.25,1178.43,No,0
0074-HDKDG,Male,46,Yes,California,San Jose,37.327069,-121.916819,25,None,Yes,No,Yes,19,Yes,Yes,Yes,No,No,No,No,Yes,One Year,61.6,1611.0,161.25,1727.35,No,0
0076-LVEPS,Male,57,No,California,Tujunga,34.296574,-118.244839,29,None,No,No,Yes,21,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,45.0,1242.45,0.0,1230.19,No,0
0078-XZMHT,Male,19,Yes,California,Visalia,36.391777,-119.372842,72,None,Yes,Yes,Yes,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,85.15,6316.2,2329.92,8646.12,No,0
0080-EMYVY,Female,64,No,California,Lodi,38.123544,-121.159078,14,None,Yes,No,Yes,12,No,Yes,No,No,No,No,No,Yes,One Year,51.45,727.85,336.56,1064.41,No,0
0080-OROZO,Female,38,No,California,El Portal,37.654551,-119.822984,35,Offer C,Yes,No,Yes,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,99.25,3532.0,1274.7,4806.7,No,0
0082-LDZUE,Male,54,No,California,Calistoga,38.629618,-122.593216,1,Offer E,Yes,No,Yes,9,No,No,No,No,No,No,No,Yes,Month-to-Month,44.3,44.3,42.95,87.25,No,0
0082-OQIQY,Male,50,No,California,Farmington,37.956963,-120.863055,29,None,Yes,No,Yes,17,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,94.2,2607.6,59.449999999999996,2687.05,No,0
0083-PIVIK,Male,25,No,California,Tulelake,41.813521,-121.492666,64,None,Yes,Yes,Yes,69,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,81.25,5567.55,351.36,5958.91,No,0
0089-IIQKO,Female,35,Yes,California,Coleville,38.42528,-119.475741,39,None,Yes,Yes,Yes,53,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,99.95,3767.4,950.8199999999999,4718.22,No,0
0093-EXYQL,Female,72,No,California,Ojai,34.581308,-118.931948,40,None,Yes,No,Yes,23,No,No,No,No,Yes,Yes,No,Yes,Two Year,91.55,3673.6,1765.6,5439.2,No,0
0093-XWZFY,Male,51,No,California,Desert Hot Springs,33.832799,-116.250973,40,None,Yes,Yes,Yes,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,104.5,4036.85,1507.6,5544.45,Yes,1
0094-OIFMO,Female,78,No,California,North Hollywood,34.207295,-118.400022,11,Offer D,Yes,No,Yes,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,95.0,1120.3,127.49,1367.79,Yes,1
0096-BXERS,Female,30,Yes,California,Inverness,38.099323,-122.945723,6,Offer E,Yes,Yes,Yes,85,No,No,No,No,No,No,No,Yes,Month-to-Month,50.35,314.55,255.95999999999998,570.51,No,0
0096-FCPUF,Male,58,No,California,Santa Rosa,38.526941,-122.709096,30,None,Yes,Yes,Yes,15,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,64.5,1888.45,79.2,1967.65,No,0
0098-BOWSO,Male,26,No,California,San Jose,37.387027,-121.897775,27,None,Yes,No,No,0,No,No,No,No,No,No,No,No,Month-to-Month,19.4,529.8,557.82,1087.62,No,0
0100-DUVFC,Male,66,Yes,California,Wilmington,33.782068,-118.262263,70,None,Yes,Yes,Yes,28,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,104.8,7308.95,2764.3,10067.14,No,0
0103-CSITQ,Female,20,Yes,California,Modesto,37.670526,-120.877572,57,Offer B,Yes,Yes,Yes,73,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,109.4,6252.7,456.57,6709.27,No,0
0104-PPXDV,Male,61,Yes,California,San Diego,32.697098,-117.116587,58,None,Yes,No,Yes,18,No,No,Yes,No,No,No,No,Yes,One Year,50.3,2878.55,1065.46,3933.78,No,0
0106-GHRQR,Male,24,No,California,Rancho Palos Verdes,33.753146,-118.367459,16,None,Yes,Yes,Yes,48,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,71.4,1212.1,411.36,1623.46,No,0
0106-UGRDO,Female,55,Yes,California,Kenwood,38.419525,-122.521585,69,Offer A,Yes,Yes,Yes,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,116.0,8182.85,2657.88,10840.73,No,0
0107-WESLM,Male,32,No,California,West Point,38.41935,-120.469545,1,Offer E,Yes,No,No,0,No,No,No,No,No,No,No,No,Month-to-Month,19.85,19.85,31.77,51.62,Yes,1
0107-YHINA,Male,59,No,California,Los Angeles,34.003553,-118.308933,1,None,Yes,Yes,Yes,25,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,99.75,99.75,40.71,140.46,Yes,1
0111-KLBQG,Male,71,Yes,California,Morongo Valley,34.097863,-116.594561,32,Offer C,Yes,No,Yes,23,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,93.95,2861.45,1019.52,3880.97,No,0
0112-QAWRZ,Male,49,Yes,California,Palo Verde,33.3249,-114.758334,16,Offer D,Yes,Yes,Yes,12,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,90.8,1442.2,779.36,2221.56,No,0
0112-QWPNC,Male,61,Yes,California,Valyermo,34.39583,-117.734568,49,Offer B,Yes,Yes,Yes,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,84.35,4059.35,1937.9499999999998,5997.3,Yes,1
0114-IGABW,Female,40,Yes,California,Cambria,35.591387,-121.032256,71,Offer A,No,No,Yes,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,58.25,4145.9,0.0,4145.9,No,0
0114-PEGZZ,Female,39,No,California,Round Mountain,40.923558,-122.059933,33,None,Yes,Yes,Yes,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,107.55,3645.5,1639.77,5285.27,No,0
0114-RSRRW,Female,21,Yes,California,Klamath,41.572813,-124.035011,10,Offer D,Yes,No,No,0,No,No,No,No,No,No,No,No,Month-to-Month,19.95,187.75,496.0,683.75,No,0
0115-TFERT,Male,24,Yes,California,Fresno,36.841655,-119.797113,21,None,Yes,Yes,Yes,59,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,111.2,2317.1,761.4599999999999,3198.56,Yes,1
0117-LFRMW,Male,52,Yes,California,Angwin,38.542448,-122.419923,37,None,No,No,Yes,23,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,40.2,1448.8,0.0,1448.8,Yes,1
0118-JPNOY,Female,71,No,California,Le Grand,37.249377,-120.249581,26,None,Yes,No,Yes,7,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,85.8,2193.65,877.24,3070.89,No,0
0121-SNYRK,Male,45,No,California,Redway,40.142256,-123.852927,50,Offer B,No,No,Yes,7,Yes,No,No,Yes,No,No,No,Yes,One Year,35.4,1748.9,0.0,1748.9,No,0
0122-OAHPZ,Female,29,No,California,San Diego,32.85723,-117.209774,7,None,Yes,Yes,Yes,26,No,No,No,No,No,No,Yes,Yes,Month-to-Month,73.85,511.25,200.34,698.56,Yes,1
0123-CRBRT,Female,62,Yes,California,Monterey Park,34.049172,-118.115022,61,Offer B,Yes,Yes,Yes,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,88.1,5526.75,2878.5899999999997,8405.34,No,0
0125-LZQXK,Male,42,No,California,Big Oak Flat,37.818589,-120.256995,15,Offer D,Yes,No,Yes,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,101.35,1553.95,688.8000000000001,2242.75,Yes,1
0128-MKWSG,Female,51,No,California,Stevenson Ranch,34.364153,-118.615583,26,None,No,No,Yes,19,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,45.8,1147.0,0.0,1147.0,No,0
0129-KPTWJ,Male,39,Yes,California,North Highlands,38.671295,-121.388251,72,None,Yes,No,Yes,23,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,94.65,6747.35,2391.84,9139.19,No,0
0129-QMPDR,Male,64,Yes,California,La Puente,34.038983,-117.991372,44,None,Yes,No,No,0,No,No,No,No,No,No,No,No,One Year,20.5,865.05,1205.6,2070.65,No,0
0130-SXOUN,Male,55,No,California,Glenhaven,39.045246,-122.743181,66,Offer A,Yes,Yes,Yes,8,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,89.4,5976.9,3219.48,9200.36,No,0
0133-BMFZO,Female,40,No,California,Alhambra,34.074736,-118.145959,2,None,Yes,No,Yes,16,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,86.25,181.65,73.62,255.27,Yes,1
0134-XWXCE,Female,76,No,California,Santa Monica,34.031529,-118.491156,44,None,Yes,No,Yes,17,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,74.85,3268.05,339.68,3589.82,No,0
0135-NMXAP,Female,57,No,California,Lodi,38.123544,-121.159078,12,Offer D,Yes,Yes,Yes,6,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,89.75,1052.4,172.56,1224.96,Yes,1
0136-IFMYD,Male,71,Yes,California,Los Angeles,33.973616,-118.24902,69,None,Yes,Yes,Yes,17,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,109.95,7634.25,1270.29,8904.54,No,0
0137-OCGAB,Female,25,No,California,Fairfield,38.287136,-122.02711,1,Offer E,Yes,Yes,Yes,69,No,Yes,No,No,No,No,No,Yes,Month-to-Month,80.2,80.2,1.23,81.43,Yes,1
0137-UDEUO,Female,24,No,California,Stockton,37.974498,-121.319568,3,Offer E,Yes,No,No,0,No,No,No,No,No,No,No,No,Month-to-Month,19.85,63.75,77.25,141.0,Yes,1
0139-IVFJG,Female,19,Yes,California,Temecula,33.507255,-117.029473,2,None,Yes,No,Yes,53,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,90.35,190.5,9.3,199.8,No,0
0141-YEAYS,Female,77,No,California,Fallbrook,33.362575,-117.299644,27,None,Yes,Yes,Yes,4,No,Yes,Yes,No,No,No,No,Yes,Two Year,86.45,2401.05,80.19000000000001,2481.24,No,0
0142-GVYSN,Male,57,No,California,Randsburg,35.405722,-117.773354,26,Offer C,Yes,No,No,0,No,No,No,No,No,No,No,No,Month-to-Month,20.3,511.25,346.84,858.09,No,0
0147-ESWWR,Female,73,Yes,California,Atascadero,35.453912,-120.69461,39,None,Yes,Yes,Yes,21,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,101.25,3949.15,785.8499999999999,4735.0,No,0
0148-DCDOS,Male,41,No,California,Planada,37.329725,-120.306399,25,None,Yes,Yes,Yes,8,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,94.7,2362.1,872.0000000000001,3234.1,Yes,1
0151-ONTOV,Female,43,No,California,Moorpark,34.312945,-118.858169,1,Offer E,Yes,No,Yes,23,No,No,No,No,No,No,No,Yes,Month-to-Month,70.9,70.9,39.81,110.71,Yes,1
0156-FVPTA,Male,48,Yes,California,Solvang,34.624399,-120.137875,22,Offer D,Yes,No,Yes,21,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,54.2,1152.7,599.28,1751.98,Yes,1
0164-APGRB,Female,56,No,California,Calistoga,38.629618,-122.593216,72,Offer A,Yes,Yes,Yes,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,114.9,8496.7,3482.64,11979.34,No,0
0164-XAIRP,Female,51,No,California,La Mirada,33.902045,-118.008961,24,None,Yes,No,No,0,No,No,No,No,No,No,No,No,Two Year,19.55,470.2,255.36,725.56,No,0
0168-XZKBB,Female,34,Yes,California,Boron,34.95703,-117.73045,19,None,Yes,Yes,Yes,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,86.85,1564.4,148.96,1713.36,No,0
0174-QRVVY,Male,21,Yes,California,San Marcos,33.119028,-117.166036,71,None,Yes,Yes,No,0,No,No,No,No,No,No,No,No,Two Year,25.35,1847.55,653.1999999999999,2500.75,No,0
0177-PXBAT,Male,78,Yes,California,Desert Center,33.889605,-115.257009,33,None,Yes,Yes,Yes,20,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,109.9,3694.7,829.9499999999999,4524.65,No,0
0178-CIIKR,Female,60,No,California,Crows Landing,37.435664,-121.049056,3,None,Yes,No,No,0,No,No,No,No,No,No,No,No,Month-to-Month,19.95,58.0,8.07,66.07,No,0
0178-SZBHO,Male,54,Yes,California,Tuolumne,37.939768,-120.188002,47,None,Yes,Yes,Yes,13,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,87.2,4017.45,51.230000000000004,4068.68,No,0
0181-RITDD,Male,42,Yes,California,San Diego,32.807867,-117.060993,62,None,Yes,No,Yes,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,108.15,6825.65,109.12,6934.77,No,0
0187-QSXOE,Male,71,Yes,California,Fresno,36.623632,-119.741322,7,None,Yes,No,Yes,11,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,89.0,605.45,293.78999999999996,899.24,No,0
0187-WZNAB,Female,56,Yes,California,Del Rey,36.657462,-119.595293,27,Offer C,Yes,No,Yes,28,Yes,No,No,No,No,No,No,Yes,Month-to-Month,74.4,1972.35,1259.82,3232.17,No,0
0188-GWFLE,Male,33,No,California,Redwood City,37.527497,-122.230941,2,None,Yes,No,No,0,No,No,No,No,No,No,No,No,Month-to-Month,20.05,33.7,3.62,37.32,No,0
0191-EQUUH,Female,32,No,California,Landers,34.341737,-116.539416,25,Offer C,No,No,Yes,75,Yes,No,No,Yes,No,No,No,Yes,Two Year,35.05,844.45,0.0,844.45,No,0
0191-ZHSKZ,Male,80,No,California,Hawthorne,33.914775,-118.348083,30,None,Yes,No,Yes,5,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,74.75,2111.3,1158.3,3269.6,No,0
0193-ESZXP,Female,73,Yes,California,Oceano,35.059695,-120.604741,58,None,Yes,No,Yes,19,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,105.5,6205.5,982.5200000000001,7188.02,Yes,1
0195-IESCP,Male,26,Yes,California,Armona,36.315979,-119.710852,10,Offer D,Yes,Yes,Yes,82,No,No,No,No,No,Yes,Yes,No,Month-to-Month,85.25,855.3,20.2,975.5,Yes,1
0196-JTUQI,Female,59,No,California,Clarksburg,38.384648,-121.578701,9,None,Yes,Yes,Yes,28,No,No,No,No,No,No,No,Yes,Month-to-Month,75.2,633.85,83.42999999999999,717.28,No,0
0196-VULGZ,Female,78,Yes,California,Irvine,33.716136,-117.752574,6,None,Yes,Yes,Yes,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,84.35,474.9,172.26,647.16,Yes,1
0197-PNKNK,Female,47,Yes,California,Scotts Valley,37.070177,-122.010077,69,None,Yes,Yes,Yes,16,Yes,No,Yes,No,No,No,No,No,One Year,84.45,5848.6,2685.48,8574.08,No,0
0201-MIBOL,Female,68,No,California,Salida,37.713152,-121.08739,66,None,Yes,Yes,Yes,20,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Year,102.4,6471.85,689.6999999999999,7161.55,No,0
0201-OAMXR,Female,30,No,California,Mckinleyville,40.965011,-124.015255,70,Offer A,Yes,Yes,Yes,52,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,115.55,8127.6,714.7,8842.3,Yes,1
0203-HHYIJ,Male,62,No,California,Atherton,37.454924,-122.203168,25,Offer C,Yes,Yes,No,0,No,No,No,No,No,No,No,No,One Year,25.3,676.35,139.25,815.6,Yes,1
0206-OYVOC,Female,52,Yes,California,Huntington Beach,33.721917,-118.043237,46,Offer B,Yes,No,No,0,No,No,No,No,No,No,No,No,Two Year,19.25,864.2,1119.1799999999998,1983.38,No,0
0206-TBWLC,Female,63,Yes,California,Calimesa,33.982787,-117.057627,54,Offer B,Yes,Yes,Yes,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,114.65,6049.5,615.6,6665.1,No,0
0207-MDKNV,Female,54,No,California,Daly City,37.691561,-122.445202,15,None,Yes,No,Yes,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,105.1,1582.75,335.85,1918.6,Yes,1
0208-BPQEJ,Female,48,Yes,California,Middletown,38.787446,-122.58675,12,Offer D,Yes,No,No,0,No,No,No,No,No,No,No,No,Month-to-Month,19.4,198.1,99.0,297.1,No,0
0212-ISBBF,Female,51,No,California,Berkeley,37.858898,-122.240512,22,None,No,No,Yes,22,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,50.35,1098.85,0.0,1098.85,No,0
0214-JHPFW,Female,22,Yes,California,Lost Hills,35.637715,-119.893068,70,None,No,No,Yes,85,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,57.8,4039.3,0.0,4038.29,No,0
0215-BQKGS,Male,52,No,California,Garden Grove,33.766476,-117.969795,30,Offer C,Yes,No,Yes,20,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,84.3,2438.6,741.9,3310.5,No,0
0218-QNVAS,Male,22,Yes,California,Indio,33.752938,-116.230055,71,Offer A,Yes,Yes,Yes,59,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,100.55,7113.75,2012.14,9108.9,No,0
0219-QAERP,Male,33,Yes,California,Oxnard,34.156629,-119.117218,30,None,Yes,No,No,0,No,No,No,No,No,No,No,No,One Year,19.8,576.65,294.3,870.95,No,0
0219-YTZUE,Male,26,Yes,California,San Diego,32.85723,-117.209774,4,Offer E,Yes,Yes,Yes,19,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,84.8,371.9,115.08,486.98,Yes,1
0220-EBGCE,Male,58,No,California,Escondido,33.141265,-116.967221,2,Offer E,Yes,No,Yes,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,85.85,167.3,28.28,195.58,Yes,1
0221-NAUXK,Male,22,No,California,Moreno Valley,33.923149,-117.244933,10,None,Yes,No,No,0,No,No,No,No,No,No,No,No,One Year,19.95,219.5,78.60000000000001,298.1,No,0
0221-WMXNQ,Male,66,No,California,Chino,33.990646,-117.663025,4,Offer E,Yes,No,Yes,29,Yes,No,No,No,No,No,No,Yes,One Year,75.35,273.4,145.6,419.0,No,0
0224-HJAPT,Male,25,No,California,San Diego,32.825086,-117.199424,5,None,Yes,Yes,Yes,85,No,No,No,No,No,No,Yes,Yes,Month-to-Month,47.15,223.15,110.05000000000001,333.2,Yes,1
